Rank,Mamba Dim,Mamba Layers,GPS Layers,Fusion α,Learning Rate,R²,MSE,MAD,Kappa
1,128,4,3,0.70,4.0e-04,0.3849,0.263,0.390,0.3515
2,128,2,3,0.30,4.9e-04,0.3845,0.263,0.391,0.3512
3,128,2,3,0.30,5.6e-04,0.3755,0.266,0.394,0.3543
4,128,2,3,0.30,5.7e-04,0.3738,0.267,0.395,0.3471
5,64,3,4,0.70,9.2e-04,0.3736,0.267,0.393,0.3614
6,128,4,3,0.70,3.8e-04,0.3715,0.268,0.392,0.3521
7,128,2,3,0.30,5.9e-04,0.3712,0.268,0.396,0.3479
8,256,4,2,0.70,4.4e-05,0.3696,0.269,0.403,0.2910
9,128,3,4,0.70,1.6e-04,0.3694,0.269,0.394,0.3526
10,128,2,3,0.30,5.6e-04,0.3668,0.270,0.392,0.3563
