mamba_d_model,mamba_layers,mamba_d_state,mamba_dropout,mamba_pooling,gps_layers,gps_dropout,lg_alpha,lr,batch_size,clip_grad,sampling_config,val_r2,trial_number
128,4,64,0.1,last,3,0.1,0.7,0.0003970703912602035,64,5.0,"[15, 10]",0.38489246368408203,14
128,2,8,0.1,last,3,0.1,0.3,0.0004941462204384351,64,5.0,"[15, 10]",0.3845122456550598,42
128,2,8,0.1,last,3,0.1,0.3,0.0005570850650397309,64,5.0,"[15, 10]",0.37553733587265015,84
128,2,8,0.1,last,3,0.1,0.3,0.000568114584282295,64,5.0,"[15, 10]",0.37377363443374634,19
64,3,8,0.2,last,4,0.1,0.7,0.0009159884599613117,128,0.0,"[15, 10]",0.37361079454421997,8
128,4,8,0.1,last,3,0.1,0.7,0.00037975061113869617,64,5.0,"[15, 10]",0.37148338556289673,15
128,2,8,0.1,last,3,0.1,0.3,0.0005864351350918133,64,5.0,"[15, 10]",0.37118810415267944,22
256,4,64,0.2,last,2,0.1,0.7,4.386074541249142e-05,256,2.0,"[15, 10]",0.36957621574401855,4
128,3,8,0.1,mean,4,0.1,0.7,0.00015972790449723232,128,0.0,"[15, 10]",0.36938536167144775,10
128,2,8,0.1,last,3,0.1,0.3,0.0005583342160837054,64,5.0,"[15, 10]",0.3667674660682678,21
128,2,32,0.1,last,3,0.1,0.3,0.0005690953507322628,64,5.0,"[15, 10]",0.36634254455566406,86
128,4,16,0.2,last,2,0.1,0.5,6.040518840800641e-05,256,0.0,"[25, 15]",0.3657456636428833,2
64,3,64,0.1,mean,4,0.1,0.5,0.0008397736048706257,128,0.0,"[15, 10]",0.36116719245910645,18
256,4,8,0.1,last,3,0.1,0.7,0.0005026194105678039,256,5.0,"[15, 10]",0.3588505983352661,98
256,2,8,0.1,last,4,0.1,0.3,0.0007474862111196843,128,2.0,"[25, 15]",0.3578870892524719,77
256,4,8,0.2,last,4,0.1,0.5,0.00043312931892191875,256,2.0,"[15, 10]",0.3570232391357422,50
128,2,8,0.1,last,3,0.1,0.3,0.0005220868271016467,64,5.0,"[15, 10]",0.3568093180656433,81
64,4,32,0.2,mean,2,0.2,0.7,0.0003817320728258046,128,5.0,"[25, 15]",0.3560304641723633,1
64,2,64,0.2,last,4,0.2,0.3,0.0007638888320978336,64,0.0,"[25, 15]",0.35579729080200195,29
128,2,8,0.2,last,3,0.1,0.5,0.0006921486755348822,64,5.0,"[15, 10]",0.3551575541496277,96
